"GID_0","NAME_0","GID_1","NAME_1","GID_2","NAME_2","population","ITN_coverage_mean","ITN_coverage_pop_weighted"
"ZAF","South Africa","ZAF.4_1","KwaZulu-Natal","ZAF.4.4_1","Sisonke",464135.235297581,0,0
"ZAF","South Africa","ZAF.4_1","KwaZulu-Natal","ZAF.4.5_1","Ugu",738333.27048875,0,0
"ZAF","South Africa","ZAF.4_1","KwaZulu-Natal","ZAF.4.6_1","Umgungundlovu",1094115.6913713,0,0
"ZAF","South Africa","ZAF.4_1","KwaZulu-Natal","ZAF.4.7_1","Umkhanyakude",677012.31149135,0,0
"ZAF","South Africa","ZAF.4_1","KwaZulu-Natal","ZAF.4.8_1","Umzinyathi",569285.127130168,0,0
"ZAF","South Africa","ZAF.4_1","KwaZulu-Natal","ZAF.4.9_1","Uthukela",690282.141753861,0,0
"ZAF","South Africa","ZAF.4_1","KwaZulu-Natal","ZAF.4.10_1","Uthungulu",941581.942674405,0,0
"ZAF","South Africa","ZAF.4_1","KwaZulu-Natal","ZAF.4.11_1","Zululand",806300.349595698,0,0
"ZAF","South Africa","ZAF.5_1","Limpopo","ZAF.5.1_1","Capricorn",1385583.10317954,0,0
"ZAF","South Africa","ZAF.5_1","Limpopo","ZAF.5.2_1","Mopani",1133389.4976661,0.00171078792113268,1.63698307425952e-06
"ZAF","South Africa","ZAF.5_1","Limpopo","ZAF.5.3_1","Sekhukhune",1182450.53962025,0,0
"ZAF","South Africa","ZAF.5_1","Limpopo","ZAF.5.4_1","Vhembe",1395127.17782639,0.00296060256689157,1.77355014620955e-05
"ZAF","South Africa","ZAF.5_1","Limpopo","ZAF.5.5_1","Waterberg",757004.5566873,0,0
"ZAF","South Africa","ZAF.6_1","Mpumalanga","ZAF.6.1_1","Ehlanzeni",1940257.74806881,0.000874998522739784,1.96766740291487e-07
"ZAF","South Africa","ZAF.6_1","Mpumalanga","ZAF.6.2_1","Gert Sibande",1199732.61866528,0,0
"ZAF","South Africa","ZAF.6_1","Mpumalanga","ZAF.6.3_1","Nkangala",1685741.72910496,0,0
"ZAF","South Africa","ZAF.7_1","North West","ZAF.7.1_1","Bojanala",1873794.33875751,0,0
"ZAF","South Africa","ZAF.7_1","North West","ZAF.7.2_1","Dr Kenneth Kaunda",798093.700429043,0,0
"ZAF","South Africa","ZAF.7_1","North West","ZAF.7.3_1","Dr Ruth Segomotsi Mompati",481930.762156639,0,0
"ZAF","South Africa","ZAF.7_1","North West","ZAF.7.4_1","Ngaka Modiri Molema",929904.37367743,0,0
"ZAF","South Africa","ZAF.8_1","Northern Cape","ZAF.8.1_1","Frances Baard",457460.372871547,0,0
"ZAF","South Africa","ZAF.8_1","Northern Cape","ZAF.8.2_1","John Taolo Gaetsewe",307652.92894462,0,0
"ZAF","South Africa","ZAF.8_1","Northern Cape","ZAF.8.3_1","Namakwa",121273.82611707,0,0
"ZAF","South Africa","ZAF.8_1","Northern Cape","ZAF.8.4_1","Pixley ka Seme",211453.485290778,0,0
"ZAF","South Africa","ZAF.8_1","Northern Cape","ZAF.8.5_1","Siyanda",275322.817573743,0,0
"ZAF","South Africa","ZAF.9_1","Western Cape","ZAF.9.1_1","Cape Winelands",1013737.87291471,0,0
"ZAF","South Africa","ZAF.9_1","Western Cape","ZAF.9.2_1","Central Karoo",90372.1976586242,0,0
"ZAF","South Africa","ZAF.9_1","Western Cape","ZAF.9.3_1","City of Cape Town",4448052.30134446,0,0
"ZAF","South Africa","ZAF.9_1","Western Cape","ZAF.9.4_1","Eden",696560.25064706,0,0
"ZAF","South Africa","ZAF.9_1","Western Cape","ZAF.9.5_1","Overberg",303739.654879298,0,0
"ZAF","South Africa","ZAF.9_1","Western Cape","ZAF.9.6_1","West Coast",520530.483358839,0,0
