"GID_0","NAME_0","GID_1","NAME_1","GID_2","NAME_2","population","arab_abundance","fun_abundance","gamb_abundance","arab_pop_weighted_abundance","fun_pop_weighted_abundance","gamb_pop_weighted_abundance","year"
"SSD","South Sudan","SSD.7_1","Upper Nile","SSD.7.2_1","Al Renk",209421.446256399,0.938681235348653,0.0613187646513471,0,0.943923823197444,0.0560761768025558,0,2020
"SSD","South Sudan","SSD.7_1","Upper Nile","SSD.7.3_1","Baleit",122642.521600008,0.942632955833666,0.0573670441663343,0,0.945951072017053,0.0540489279829466,0,2020
"SSD","South Sudan","SSD.7_1","Upper Nile","SSD.7.4_1","Fashooda",96675.9588361979,0.94223184584839,0.0577681541516097,0,0.943050683242526,0.0569493167574743,0,2020
"SSD","South Sudan","SSD.7_1","Upper Nile","SSD.7.5_1","Malut",122456.424319506,0.938914065709327,0.0610859342906728,0,0.936987935198465,0.0630120648015349,0,2020
"SSD","South Sudan","SSD.7_1","Upper Nile","SSD.7.6_1","Mayot",193906.309634686,0.902657049624746,0.0973429503752538,0,0.913263238165888,0.0867367618341123,0,2020
"SSD","South Sudan","SSD.7_1","Upper Nile","SSD.7.7_1","Sobat",439949.414883137,0.954292423849817,0.0457075761501831,0,0.95308289186772,0.0469171081322801,0,2020
"SSD","South Sudan","SSD.7_1","Upper Nile","SSD.7.8_1","Tonga",302742.531956434,0.947390493203822,0.0526095067961783,0,0.957234762374986,0.0427652376250137,0,2020
"SSD","South Sudan","SSD.8_1","Warap","SSD.8.1_1","Gogrial",412720.316093683,0.91931920530895,0.0806807946910501,0,0.915229500258208,0.0847704997417923,0,2020
"SSD","South Sudan","SSD.8_1","Warap","SSD.8.2_1","Malek",59914.6130752563,0.918037779259283,0.0819622207407166,0,0.917502716980407,0.0824972830195927,0,2020
"SSD","South Sudan","SSD.8_1","Warap","SSD.8.3_1","Tonj",271173.89725697,0.901997358960141,0.0980026410398594,0,0.947988317493074,0.052011682506926,0,2020
"SSD","South Sudan","SSD.8_1","Warap","SSD.8.4_1","Warab",298674.537837029,0.94523529829648,0.0546556183091384,0.000109083394381822,0.937841021552173,0.0619650410257439,0.00019393742208358,2020
"SSD","South Sudan","SSD.9_1","West Bahr-al-Ghazal","SSD.9.1_1","Raja",72495.594668448,0.877688242948138,0.0815303239896253,0.0407814330622369,0.880218914188945,0.0833751562172689,0.0364059295937863,2020
"SSD","South Sudan","SSD.9_1","West Bahr-al-Ghazal","SSD.9.2_1","Wau",258427.226154298,0.890584943632988,0.104110894856317,0.00530416151069505,0.889688126899048,0.108374859452481,0.00193701364847062,2020
"SSD","South Sudan","SSD.10_1","West Equatoria","SSD.10.1_1","Meridi",208234.356927991,0.849561403989209,0.114421275022568,0.0360173209882221,0.837009306964682,0.118396851938159,0.0445938410971587,2020
"SSD","South Sudan","SSD.10_1","West Equatoria","SSD.10.2_1","Mundri",204966.306760788,0.830944605811745,0.168454036339119,0.000601357849136237,0.806707669148493,0.192858344304968,0.000433986546539266,2020
"SSD","South Sudan","SSD.10_1","West Equatoria","SSD.10.3_1","Tombura",222038.205820262,0.819353486947073,0.136748558753293,0.0438979542996339,0.756165181458098,0.154070246266059,0.0897645722758432,2020
"SSD","South Sudan","SSD.10_1","West Equatoria","SSD.10.4_1","Yambio",316021.098023891,0.767609840997538,0.14747327008207,0.0849168889203912,0.693335506678347,0.1692304316401,0.137434061681553,2020
